model,delay,period,window_size,n_train,ml_metric
rf_lcld,0_0,20000,400000,37,0.26908927234498775
rf_lcld_400,0_0,20000,400000,37,0.27418528994206565
opt_rf_classifier,0_0,20000,400000,37,0.27507474104024093
rf_lcld,0_0,50000,400000,15,0.26882520349493727
rf_lcld_400,0_0,50000,400000,15,0.2737180136092192
opt_rf_classifier,0_0,50000,400000,15,0.27438295459018913
rf_lcld,0_0,100000,400000,8,0.26811704958397337
rf_lcld_400,0_0,100000,400000,8,0.2725284499231433
opt_rf_classifier,0_0,100000,400000,8,0.2734133624920589
rf_lcld,0_0,200000,400000,4,0.26777571498944447
rf_lcld_400,0_0,200000,400000,4,0.2722484876671392
opt_rf_classifier,0_0,200000,400000,4,0.2710554623448895
rf_lcld,0_0,400000,400000,2,0.26689702551877986
rf_lcld_400,0_0,400000,400000,2,0.27085197206071754
opt_rf_classifier,0_0,400000,400000,2,0.2684532726857016
